timestamp,kwh,building
2024-02-01,542.48,Hostel
2024-02-02,551.89,Hostel
2024-02-03,568.23,Hostel
2024-02-04,644.68,Hostel
2024-02-05,537.48,Hostel
2024-02-06,528.48,Hostel
2024-02-07,637.89,Hostel
2024-02-08,463.49,Hostel
2024-02-09,556.31,Hostel
2024-02-10,569.78,Hostel
2024-02-11,652.68,Hostel
2024-02-12,540.25,Hostel
2024-02-13,531.20,Hostel
2024-02-14,637.84,Hostel
2024-02-15,536.37,Hostel
2024-02-16,460.11,Hostel
2024-02-17,836.27,Hostel
2024-02-18,431.91,Hostel
2024-02-19,345.45,Hostel
2024-02-20,353.27,Hostel
2024-02-21,458.66,Hostel
2024-02-22,461.80,Hostel
2024-02-23,745.33,Hostel
2024-02-24,640.28,Hostel
2024-02-25,547.27,Hostel
2024-02-26,543.14,Hostel
2024-02-27,449.24,Hostel
2024-02-28,578.94,Hostel
2024-02-29,585.65,Hostel
