timestamp,kwh,building
2024-01-01,482.46,Hostel
2024-01-02,541.78,Hostel
2024-01-03,849.37,Hostel
2024-01-04,456.71,Hostel
2024-01-05,447.97,Hostel
2024-01-06,542.26,Hostel
2024-01-07,549.16,Hostel
2024-01-08,542.90,Hostel
2024-01-09,432.74,Hostel
2024-01-10,542.77,Hostel
2024-01-11,643.54,Hostel
2024-01-12,347.63,Hostel
2024-01-13,444.98,Hostel
2024-01-14,336.49,Hostel
2024-01-15,349.79,Hostel
2024-01-16,352.88,Hostel
2024-01-17,832.77,Hostel
2024-01-18,634.74,Hostel
2024-01-19,733.45,Hostel
2024-01-20,522.29,Hostel
2024-01-21,267.46,Hostel
2024-01-22,368.99,Hostel
2024-01-23,535.33,Hostel
2024-01-24,355.31,Hostel
2024-01-25,533.20,Hostel
2024-01-26,436.67,Hostel
2024-01-27,633.89,Hostel
2024-01-28,465.15,Hostel
2024-01-29,453.93,Hostel
2024-01-30,442.89,Hostel
2024-01-31,542.69,Hostel
